case_id,model,kn,rt,seed,figure
H80_00,HS,20,0.2,32452843,Figure5
H80_01,HS,20,0.2,49979687,Figure5
H80_02,HS,20,0.2,67867967,Figure5
H80_03,BGK,20,0.2,32452843,Figure5
H80_04,BGK,20,0.2,49979687,Figure5
H80_05,BGK,20,0.2,67867967,Figure5
H80_06,SHAKHOV,20,0.2,32452843,Figure5
H80_07,SHAKHOV,20,0.2,49979687,Figure5
H80_08,SHAKHOV,20,0.2,67867967,Figure5
H80_09,SHAKHOV,5,0.5,32452843,Figure6
H80_10,SHAKHOV,5,0.5,49979687,Figure6
H80_11,SHAKHOV,5,0.5,67867967,Figure6
H80_12,SHAKHOV,10,0.5,32452843,Figure6
H80_13,SHAKHOV,10,0.5,49979687,Figure6
H80_14,SHAKHOV,10,0.5,67867967,Figure6
H80_15,SHAKHOV,20,0.5,32452843,Figure6
H80_16,SHAKHOV,20,0.5,49979687,Figure6
H80_17,SHAKHOV,20,0.5,67867967,Figure6
H80_18,HS,30,0.5,32452843,Figure2d
H80_19,HS,30,0.5,49979687,Figure2d
H80_20,HS,30,0.5,67867967,Figure2d
