case_id,model,kn,rt,seed,figure
LOW20_00,HS,20,0.2,86028121,Figure5
LOW20_01,HS,20,0.2,104395301,Figure5
LOW20_02,HS,20,0.2,122949829,Figure5
LOW20_03,HS,20,0.2,141650939,Figure5
LOW20_04,HS,20,0.2,160481183,Figure5
LOW20_05,HS,20,0.2,179424673,Figure5
LOW20_06,BGK,20,0.2,86028121,Figure5
LOW20_07,BGK,20,0.2,104395301,Figure5
LOW20_08,BGK,20,0.2,122949829,Figure5
LOW20_09,BGK,20,0.2,141650939,Figure5
LOW20_10,BGK,20,0.2,160481183,Figure5
LOW20_11,BGK,20,0.2,179424673,Figure5
LOW20_12,SHAKHOV,20,0.2,86028121,Figure5
LOW20_13,SHAKHOV,20,0.2,104395301,Figure5
LOW20_14,SHAKHOV,20,0.2,122949829,Figure5
LOW20_15,SHAKHOV,20,0.2,141650939,Figure5
LOW20_16,SHAKHOV,20,0.2,160481183,Figure5
LOW20_17,SHAKHOV,20,0.2,179424673,Figure5
LOW20_18,SHAKHOV,20,0.5,86028121,Figure6
LOW20_19,SHAKHOV,20,0.5,104395301,Figure6
LOW20_20,SHAKHOV,20,0.5,122949829,Figure6
LOW20_21,SHAKHOV,20,0.5,141650939,Figure6
LOW20_22,SHAKHOV,20,0.5,160481183,Figure6
LOW20_23,SHAKHOV,20,0.5,179424673,Figure6
LOW20_24,HS,30,0.5,86028121,Figure2d
LOW20_25,HS,30,0.5,104395301,Figure2d
LOW20_26,HS,30,0.5,122949829,Figure2d
LOW20_27,HS,30,0.5,141650939,Figure2d
LOW20_28,HS,30,0.5,160481183,Figure2d
LOW20_29,HS,30,0.5,179424673,Figure2d
