case_id,model,kn,rt,seed,figure
LOW40_00,HS,20,0.2,86028121,Figure5
LOW40_01,HS,20,0.2,104395301,Figure5
LOW40_02,HS,20,0.2,122949829,Figure5
LOW40_03,BGK,20,0.2,86028121,Figure5
LOW40_04,BGK,20,0.2,104395301,Figure5
LOW40_05,BGK,20,0.2,122949829,Figure5
LOW40_06,SHAKHOV,20,0.2,86028121,Figure5
LOW40_07,SHAKHOV,20,0.2,104395301,Figure5
LOW40_08,SHAKHOV,20,0.2,122949829,Figure5
LOW40_09,SHAKHOV,20,0.5,86028121,Figure6
LOW40_10,SHAKHOV,20,0.5,104395301,Figure6
LOW40_11,SHAKHOV,20,0.5,122949829,Figure6
LOW40_12,HS,30,0.5,86028121,Figure2d
LOW40_13,HS,30,0.5,104395301,Figure2d
LOW40_14,HS,30,0.5,122949829,Figure2d
