case_id,model,kn,rt,seed,group
A100K001_00,BGK,0.01,0.5,104729,kn001_a100_80m
A100K001_01,BGK,0.01,0.5,1299709,kn001_a100_80m
A100K001_02,BGK,0.01,0.5,15485863,kn001_a100_80m
A100K001_03,BGK,0.01,0.5,32452843,kn001_a100_80m
A100K001_04,BGK,0.01,0.5,49979687,kn001_a100_80m
A100K001_05,BGK,0.01,0.5,67867967,kn001_a100_80m
A100K001_06,SHAKHOV,0.01,0.5,104729,kn001_a100_80m
A100K001_07,SHAKHOV,0.01,0.5,1299709,kn001_a100_80m
A100K001_08,SHAKHOV,0.01,0.5,15485863,kn001_a100_80m
A100K001_09,SHAKHOV,0.01,0.5,32452843,kn001_a100_80m
A100K001_10,SHAKHOV,0.01,0.5,49979687,kn001_a100_80m
A100K001_11,SHAKHOV,0.01,0.5,67867967,kn001_a100_80m
