kn_gu,model,smoothing_cells,activity_threshold,common_mask_cells,Jaccard,Dice,precision,recall,q_common_E,q_common_C,q_common_G,q_common_angle_weighted_deg,q_common_angle_median_deg,q_common_angle_p90_deg
0.05,R13,3,0.03,18686,0.17310832879695154,0.2951276102088167,0.44612794612794615,0.22049646373595896,0.8487616722617649,0.7879113916285975,1.372035297455692,22.820104043145236,8.389161624589928,40.95533521807872
0.05,R26,3,0.03,18686,0.14682895579756566,0.2560607753323651,0.6586206896551724,0.15892386631535155,0.2310454061552677,0.9729829843620575,0.9641587244186619,6.723006079627596,4.709386916416262,18.03986914350637
0.05,R13,3,0.05,12152,0.15902825637491386,0.27441653039988106,0.43723353860729514,0.19995667244367418,0.8453811223366281,0.787281460243291,1.3656250775210694,23.258881644866673,7.454973771164553,43.60411298552159
0.05,R26,3,0.05,12152,0.1613160518444666,0.2778159340659341,0.6697019867549668,0.17525996533795493,0.2288790376406574,0.9735151940260797,0.9626779032691966,6.720905480521646,3.786754783424689,13.873511931244385
0.05,R13,3,0.07,8703,0.16449219749296495,0.28251318101933215,0.4686588921282799,0.20220125786163523,0.843835519226868,0.7846989352283993,1.3572465773137206,23.894169990377996,7.371686761584423,53.781732385703975
0.05,R26,3,0.07,8703,0.16357308584686775,0.2811565304087737,0.6778846153846154,0.17735849056603772,0.22735705651709961,0.9739068899649012,0.9602737879985019,6.793437117046355,3.4617532165306595,12.89282113884727
0.05,R13,3,0.1,5591,0.1880794701986755,0.3166109253065775,0.5188794153471377,0.22780748663101605,0.8554504415612364,0.7754049801597601,1.3525083861658866,25.229651343653554,7.912658894094523,82.03680472496177
0.05,R26,3,0.1,5591,0.20125786163522014,0.33507853403141363,0.6786296900489397,0.22245989304812835,0.23020271995527236,0.9732831625086986,0.9567481482135796,7.060226552848299,3.5338032635762606,15.173289447733884
0.05,R13,5,0.03,17168,0.21925272444213803,0.3596509895722494,0.4398750650702759,0.30417566594672424,0.8494200588304525,0.7903976823796086,1.3788217918912649,22.500483617980137,7.324940497014785,40.016356354899266
0.05,R26,5,0.03,17168,0.2207641196013289,0.36168186147775205,0.7412158393753486,0.23920086393088552,0.2210592079696356,0.9752829068181873,0.9686555574313749,6.322093593833156,3.6639664288541645,14.918836850173083
0.05,R13,5,0.05,10913,0.20239093959731544,0.33664747950462237,0.4182921543129606,0.2816695855224752,0.8448292301883981,0.7900766803432163,1.3714178787825477,22.919857650681994,6.8110680107224075,49.273881294326394
0.05,R26,5,0.05,10913,0.25406125166444743,0.4051815672117222,0.7435697583787997,0.27845884413309985,0.2194480208451729,0.9756661110266608,0.9666221042403094,6.345844309127242,3.068712705599065,12.15735407706389
0.05,R13,5,0.07,7887,0.21574251115360102,0.35491480996068153,0.44132985658409385,0.29679964927663305,0.8443316893928314,0.7871390648716884,1.3637532419086642,23.594823492087315,7.161150977575834,71.19317939089659
0.05,R26,5,0.07,7887,0.2613322822230981,0.414375,0.721436343852013,0.2906619903551074,0.21960884840399747,0.9756583876955885,0.9639393528340742,6.483876905008384,3.0021910859954373,13.29694467048676
0.05,R13,5,0.1,4863,0.2689987937273824,0.42395437262357416,0.5132336018411968,0.3611336032388664,0.8628856911649795,0.7741251363604866,1.3605050838027635,25.39991885653478,8.210672884921895,86.53974440360362
0.05,R26,5,0.1,4863,0.3228291316526611,0.4880889359449444,0.7048929663608563,0.37327935222672065,0.22406840501135233,0.9746697082827942,0.9609696948375838,6.9220288988931955,3.378005638565748,17.161345103887435
0.05,R13,7,0.03,16789,0.26463535054309495,0.4185164528722811,0.4420358152686145,0.397373437830968,0.8526548755344099,0.7921981916785477,1.3876797713024362,22.156032243655545,6.7869170044456935,39.84447036040013
0.05,R26,7,0.03,16789,0.29730791904106896,0.4583459557709785,0.8043593833067517,0.32048294852785425,0.2133389665972239,0.976991347012554,0.9719310302066416,6.062918538602288,3.2092664799066792,13.35566535701189
0.05,R13,7,0.05,10744,0.24721355327686134,0.39642537980339587,0.4247414783607813,0.37164879356568364,0.8469058333981043,0.7921427407807105,1.379288048532815,22.52181843959029,6.455318534871175,50.3294077525072
0.05,R26,7,0.05,10744,0.34355828220858897,0.5114155251141552,0.8022922636103151,0.3753351206434316,0.21208410178508322,0.9772784847484807,0.9700050411162396,6.093935182004482,2.7687689872640178,12.304798716507213
0.05,R13,7,0.07,8133,0.250576986482031,0.4007382019509623,0.4272062956717257,0.37735849056603776,0.843232495881878,0.7912097712933452,1.371773242673735,23.047731077778167,6.936148780502895,70.43445542027277
0.05,R26,7,0.07,8133,0.3582485625829279,0.5275154672745034,0.7663197729422895,0.40218470705064546,0.2113162742660916,0.9774683987260859,0.9675166010070262,6.197785122475357,2.7259518723549743,13.807863825397236
0.05,R13,7,0.1,5187,0.2981680353758686,0.459367396593674,0.47821681864235055,0.4419475655430712,0.8572748664774931,0.7806954872280434,1.367556322922704,24.55546874344317,7.874902887335497,85.42034421991066
0.05,R26,7,0.1,5187,0.4075829383886256,0.5791245791245792,0.7226890756302521,0.48314606741573035,0.2148302287520759,0.9767379748624775,0.9637341783352019,6.5772614454580625,3.112001893039822,16.862309075282898
0.05,R13,9,0.03,16950,0.29397168296599036,0.45437112239142696,0.44156983117737336,0.4679368029739777,0.8600814652904488,0.7927392423358701,1.3995140220321058,21.932246571188386,6.487974939084271,39.521458763250855
0.05,R26,9,0.03,16950,0.3603545179420666,0.5297950103289369,0.8381096028154852,0.38731412639405205,0.2091595886744618,0.9778841802641104,0.9756030521921205,5.9197690691625295,2.8785280791546057,12.365796960683257
0.05,R13,9,0.05,10930,0.270392068499324,0.42568286626463286,0.4238784881667255,0.4275026718916993,0.8535495001711606,0.7927252024913112,1.3901864948838207,22.288234248205853,6.217207731309641,49.80606435200465
0.05,R26,9,0.05,10930,0.4054937867887508,0.5770125639832481,0.8316566063044937,0.44175276095475596,0.20858278469030467,0.9780147070578517,0.9735937014463028,5.975567750739399,2.530325608240539,12.52884041610211
0.05,R13,9,0.07,8400,0.26831683168316833,0.42310694769711166,0.4101917255297679,0.4368619022031166,0.8444879267588274,0.7935263710104641,1.3790551576046493,22.718157482915036,6.716511735456159,68.91690591065121
0.05,R26,9,0.07,8400,0.4518447532343076,0.6224422442244224,0.806672369546621,0.5067168189145621,0.20644907667249754,0.9784852304601693,0.9710982495059677,6.0411730303671,2.54284135003331,13.389472167598429
0.05,R13,9,0.1,5777,0.3203463203463203,0.4852459016393443,0.46540880503144655,0.5068493150684932,0.8507449892667316,0.7867353507471876,1.3721578894982602,23.83461882896184,7.425649676557241,83.66583916185883
0.05,R26,9,0.1,5777,0.4782251437962202,0.6470261256253474,0.749034749034749,0.5694716242661448,0.20806169157182675,0.9781740440971489,0.9674909712666874,6.316980890683123,2.8371691417244977,15.650018512666506
0.05,R13,11,0.03,17234,0.3198297372669896,0.484653024911032,0.4427062169849655,0.5353808353808354,0.8677332110156798,0.7933626085124319,1.4117355979655875,21.716455671172877,6.474155639993179,38.341964160245716
0.05,R26,11,0.03,17234,0.4139042357274402,0.5854770433083686,0.8677606177606177,0.44176904176904175,0.20587757559967326,0.978578150066851,0.9794567415868721,5.807443707673489,2.743043629346028,11.883899039730617
0.05,R13,11,0.05,11292,0.28643106457242584,0.4453111751738172,0.4225941422594142,0.4706093189964158,0.8626108962501687,0.7933914724097753,1.4045932286425848,22.021310827917585,5.997341900690892,48.539289287241715
0.05,R26,11,0.05,11292,0.4588313413014608,0.6290395994538006,0.8615960099750624,0.4953405017921147,0.20562059710007508,0.9786323442879394,0.9775858079532813,5.873232291351221,2.43814557545383,12.40438562731411
0.05,R13,11,0.07,8634,0.2868217054263566,0.4457831325301205,0.4075263882514915,0.4919667590027701,0.8516064445059143,0.7943918815772728,1.3912938817748637,22.455386801193765,6.597472273299735,68.21609940121901
0.05,R26,11,0.07,8634,0.5313597591570497,0.6939711664482306,0.8492381716118684,0.5867036011080332,0.20332974472622845,0.9791196224216691,0.9748511213281859,5.9448985583331,2.5023834995546674,13.4520179016401
0.05,R13,11,0.1,6267,0.334881021474173,0.5017391304347826,0.4593949044585987,0.5526819923371648,0.8421467346965757,0.7929553327088261,1.3743237893965532,23.216266650216856,7.1575293441643835,82.35082885183469
0.05,R26,11,0.1,6267,0.5520918785890074,0.7114164904862579,0.7936320754716981,0.6446360153256705,0.20194999835369165,0.9794380642572039,0.9703428154450384,6.123421628911327,2.732751380950487,15.127500243441224
0.2,R13,3,0.03,20966,0.10188368963970698,0.1849263957669086,0.4436848958333333,0.11680521038649413,0.6388975401819621,0.8152545378994858,1.0851249297846746,27.559076943575107,22.211588455656475,64.54729212875088
0.2,R26,3,0.03,20966,0.4490596587370781,0.6197945764751386,0.6216379310344827,0.617962121861342,0.369137558523183,0.9330813817424584,1.016168095884202,11.806703195816649,8.279273672382637,23.185308049909562
0.2,R13,3,0.05,15917,0.06003256003256003,0.11326550201574198,0.3791773778920309,0.0665763935906116,0.6369186819574078,0.8140233669884898,1.0753650005443376,27.95000449449367,21.61474662810247,60.70308084119554
0.2,R26,3,0.05,15917,0.4001351237226586,0.5715664394716208,0.6139691589996112,0.5346422929361317,0.3682194109030647,0.9332356580197717,1.0139470448582866,11.956311113171031,8.28248169172886,21.930357377373724
0.2,R13,3,0.07,11053,0.050473653049141504,0.0960969423700155,0.3476044852191641,0.05575539568345324,0.6471414179284146,0.805641077167948,1.0661205581616158,29.047463994475105,22.169055631108446,59.88421190517207
