kn,x_over_L,macro_slip_over_Uwall,macro_T_K,source,estimated_digitization_uncertainty_slip,estimated_digitization_uncertainty_T_K
0.005,0.10,0.205,303.55,Fig. 4a/5a open circles,0.025,0.30
0.005,0.20,0.130,302.00,Fig. 4a/5a open circles,0.025,0.30
0.005,0.30,0.090,301.18,Fig. 4a/5a open circles,0.025,0.30
0.005,0.40,0.067,300.85,Fig. 4a/5a open circles,0.025,0.30
0.005,0.50,0.057,300.70,Fig. 4a/5a open circles,0.025,0.30
0.005,0.60,0.056,300.66,Fig. 4a/5a open circles,0.025,0.30
0.005,0.70,0.062,300.82,Fig. 4a/5a open circles,0.025,0.30
0.005,0.80,0.090,301.35,Fig. 4a/5a open circles,0.025,0.30
0.005,0.90,0.160,303.25,Fig. 4a/5a open circles,0.025,0.30
0.05,0.10,0.435,304.75,Fig. 4b/5b open circles,0.025,0.30
0.05,0.20,0.325,304.20,Fig. 4b/5b open circles,0.025,0.30
0.05,0.30,0.270,303.52,Fig. 4b/5b open circles,0.025,0.30
0.05,0.40,0.235,303.18,Fig. 4b/5b open circles,0.025,0.30
0.05,0.50,0.225,303.10,Fig. 4b/5b open circles,0.025,0.30
0.05,0.60,0.230,303.45,Fig. 4b/5b open circles,0.025,0.30
0.05,0.70,0.260,304.12,Fig. 4b/5b open circles,0.025,0.30
0.05,0.80,0.325,305.35,Fig. 4b/5b open circles,0.025,0.30
0.05,0.90,0.440,307.35,Fig. 4b/5b open circles,0.025,0.30
0.1,0.10,0.520,305.20,Fig. 4c/5c open circles,0.025,0.30
0.1,0.20,0.430,304.75,Fig. 4c/5c open circles,0.025,0.30
0.1,0.30,0.385,304.60,Fig. 4c/5c open circles,0.025,0.30
0.1,0.40,0.350,304.65,Fig. 4c/5c open circles,0.025,0.30
0.1,0.50,0.335,304.70,Fig. 4c/5c open circles,0.025,0.30
0.1,0.60,0.340,305.00,Fig. 4c/5c open circles,0.025,0.30
0.1,0.70,0.365,305.65,Fig. 4c/5c open circles,0.025,0.30
0.1,0.80,0.405,306.65,Fig. 4c/5c open circles,0.025,0.30
0.1,0.90,0.485,307.75,Fig. 4c/5c open circles,0.025,0.30
