x_over_L,u_mean_over_Ulid,u_CI95_halfwidth_over_Ulid,slip_mean_over_Ulid,slip_CI95_halfwidth,temperature_mean_K,temperature_CI95_halfwidth_K,u_mean_11cell_over_Ulid,slip_mean_11cell_over_Ulid,temperature_mean_11cell_K
2.500000000000000052e-03,1.089458333333333528e-01,3.485368339400628235e-02,8.910541666666667027e-01,3.485368339400612969e-02,3.016249999999999432e+02,2.153435065470189258e+00,2.157451212121212214e-01,7.842548787878786953e-01,3.043780909090908722e+02
7.499999999999999722e-03,2.550306666666666278e-01,2.177257147902186829e-02,7.449693333333332612e-01,2.177257147902181278e-02,3.046960000000000264e+02,3.676943407303522537e+00,2.435691969696969772e-01,7.564308030303029673e-01,3.050127878787878331e+02
1.250000000000000069e-02,3.173276666666666745e-01,1.471773112933657396e-02,6.826723333333332144e-01,1.471773112933659998e-02,3.071663333333333412e+02,2.534614697309608644e+00,2.727051515151515670e-01,7.272948484848484885e-01,3.056355454545454791e+02
1.750000000000000167e-02,3.564413333333332767e-01,2.470660156575106570e-02,6.435586666666667233e-01,2.470660156575113856e-02,3.090579999999999927e+02,3.336936742060460315e+00,3.026087121212121533e-01,6.973912878787880132e-01,3.061633333333333553e+02
2.249999999999999917e-02,3.859460000000000668e-01,1.364757292783275351e-02,6.140539999999999887e-01,1.364757292783274831e-02,3.074003333333333217e+02,3.870231014844256467e+00,3.329848181818181874e-01,6.670151818181818681e-01,3.068672727272727343e+02
2.750000000000000361e-02,4.047756666666667003e-01,9.215555412521470383e-03,5.952243333333333553e-01,9.215555412521432219e-03,3.100883333333333667e+02,2.287555453844992037e+00,3.644974696969696670e-01,6.355025303030303885e-01,3.074173333333333176e+02
3.250000000000000111e-02,4.150106666666666388e-01,5.335773025858217729e-03,5.849893333333332501e-01,5.335773025858153544e-03,3.086066666666666265e+02,1.348088994585278089e+00,3.972494848484848240e-01,6.027505151515151205e-01,3.080806363636364154e+02
3.749999999999999861e-02,4.294413333333333416e-01,1.495796688578116158e-02,5.705586666666667695e-01,1.495796688578108005e-02,3.084753333333333671e+02,2.653975738278932184e+00,4.176686666666666325e-01,5.823313333333333119e-01,3.085573030303030464e+02
4.249999999999999611e-02,4.378849999999999687e-01,2.128515434371795051e-02,5.621150000000000313e-01,2.128515434371790888e-02,3.074306666666666388e+02,2.991699483666361292e+00,4.336456666666665960e-01,5.663543333333334040e-01,3.088100909090909454e+02
4.750000000000000056e-02,4.430829999999999491e-01,4.128228371511242362e-02,5.569169999999999954e-01,4.128228371511236811e-02,3.093683333333332826e+02,3.761768979064482377e+00,4.457539393939393135e-01,5.542460606060606310e-01,3.088955454545454131e+02
5.250000000000000500e-02,4.555850000000000177e-01,3.685842600833576926e-02,5.444149999999999823e-01,3.685842600833578314e-02,3.076756666666666433e+02,4.910751557592710981e+00,4.557979393939393109e-01,5.442020606060606891e-01,3.090070909090908913e+02
5.750000000000000250e-02,4.692179999999999684e-01,1.489548691990960627e-02,5.307819999999999760e-01,1.489548691990955076e-02,3.089213333333333367e+02,2.045050938004048025e+00,4.649119090909090146e-01,5.350880909090910409e-01,3.088775454545454409e+02
6.250000000000000000e-02,4.796416666666666329e-01,5.909555469902266767e-03,5.203583333333333671e-01,5.909555469902325747e-03,3.099393333333333089e+02,1.959766348943189129e+00,4.732714242424242435e-01,5.267285757575759231e-01,3.089408787878787734e+02
6.750000000000000444e-02,4.930746666666667166e-01,2.875298461515261167e-02,5.069253333333333389e-01,2.875298461515257697e-02,3.099469999999999459e+02,4.597160444649079913e+00,4.805186363636363978e-01,5.194813636363636578e-01,3.088724242424241879e+02
7.249999999999999500e-02,4.896323333333333361e-01,5.727666002374616309e-03,5.103676666666666639e-01,5.727666002374742077e-03,3.099979999999999905e+02,2.824118263425224207e+00,4.872962727272728278e-01,5.127037272727273942e-01,3.091084242424242348e+02
7.749999999999999944e-02,4.964299999999999824e-01,3.433220056159679706e-02,5.035699999999999621e-01,3.433220056159677624e-02,3.086273333333333539e+02,2.041502297238414698e+00,4.948240606060606561e-01,5.051759393939393439e-01,3.090694848484848194e+02
8.250000000000000389e-02,5.050293333333333301e-01,8.375759918409024160e-03,4.949706666666666699e-01,8.375759918409015486e-03,3.086633333333333553e+02,2.383790421771379009e+00,5.015584242424243611e-01,4.984415757575758055e-01,3.092519999999999527e+02
8.749999999999999445e-02,5.069653333333333789e-01,2.755810506378385608e-02,4.930346666666666766e-01,2.755810506378391159e-02,3.093033333333333417e+02,5.663890819866938209e+00,5.073924848484847594e-01,4.926075151515151851e-01,3.093198484848484782e+02
9.249999999999999889e-02,5.091606666666667058e-01,9.413695606028603738e-03,4.908393333333333497e-01,9.413695606028591595e-03,3.077223333333333244e+02,2.145750550390551847e+00,5.122120303030303079e-01,4.877879696969697476e-01,3.092554545454545405e+02
9.750000000000001721e-02,5.124390000000000889e-01,1.095159460191925602e-02,4.875609999999999666e-01,1.095159460191923000e-02,3.100266666666666993e+02,2.856985532074757028e+00,5.173346363636364131e-01,4.826653636363636424e-01,3.092015454545455100e+02
1.025000000000000078e-01,5.258886666666665599e-01,4.346561746125033460e-02,4.741113333333333291e-01,4.346561746125036929e-02,3.089399999999999977e+02,3.646988285634475524e+00,5.230664242424242216e-01,4.769335757575757784e-01,3.091475757575757939e+02
1.075000000000000122e-01,5.296629999999999949e-01,1.622397262099631310e-02,4.703370000000000051e-01,1.622397262099636167e-02,3.096833333333333371e+02,4.447127124764683082e+00,5.281593939393939285e-01,4.718406060606060715e-01,3.092912121212121406e+02
1.125000000000000028e-01,5.333926666666666261e-01,2.227194202683556098e-02,4.666073333333333739e-01,2.227194202683557486e-02,3.096676666666666620e+02,2.005839808915832023e+00,5.334836666666666893e-01,4.665163333333333662e-01,3.095208181818181856e+02
1.175000000000000072e-01,5.326566666666666672e-01,3.415344269924811688e-02,4.673433333333332773e-01,3.415344269924807524e-02,3.092309999999999945e+02,1.818207236691024020e+00,5.383723636363636489e-01,4.616276363636364066e-01,3.096421212121211965e+02
1.224999999999999978e-01,5.494233333333332636e-01,2.844672143827633309e-02,4.505766666666666809e-01,2.844672143827632615e-02,3.093540000000000418e+02,5.330225002867774897e+00,5.426013333333332689e-01,4.573986666666667311e-01,3.098398181818182024e+02
1.275000000000000022e-01,5.526820000000000066e-01,1.840119925160957348e-02,4.473180000000000489e-01,1.840119925160956654e-02,3.094043333333333408e+02,2.085210310708688564e+00,5.458063333333332823e-01,4.541936666666667177e-01,3.097450606060606901e+02
1.325000000000000067e-01,5.524526666666665919e-01,8.273162230232722347e-03,4.475473333333333525e-01,8.273162230232705000e-03,3.102073333333333380e+02,1.461547934442252394e+00,5.491166363636363901e-01,4.508833636363636099e-01,3.098904242424242739e+02
1.375000000000000111e-01,5.635963333333333658e-01,1.666233779184232711e-02,4.364036666666666342e-01,1.666233779184234098e-02,3.111890000000000214e+02,1.077213888085303717e+00,5.526348484848484510e-01,4.473651515151514380e-01,3.098953333333333831e+02
1.425000000000000155e-01,5.607409999999999339e-01,2.043868938586736184e-02,4.392590000000000106e-01,2.043868938586739653e-02,3.106376666666666893e+02,2.469195814736072414e+00,5.559394848484848772e-01,4.440605151515151228e-01,3.099099090909091387e+02
1.474999999999999922e-01,5.556793333333334139e-01,3.079615030729142278e-02,4.443206666666667526e-01,3.079615030729142278e-02,3.098969999999999914e+02,7.934049633682757063e-01,5.601190303030303408e-01,4.398809696969697147e-01,3.099343939393939422e+02
1.524999999999999967e-01,5.476940000000000142e-01,2.028566400489912464e-02,4.523059999999999303e-01,2.028566400489911423e-02,3.089843333333333248e+02,5.157251968727735836e+00,5.625825454545454463e-01,4.374174545454545537e-01,3.099743030303030764e+02
1.575000000000000011e-01,5.623019999999999685e-01,2.392168587232845409e-02,4.376979999999999760e-01,2.392168587232845409e-02,3.105389999999999873e+02,4.874232059611066425e+00,5.645641212121212948e-01,4.354358787878788162e-01,3.099745151515151633e+02
1.625000000000000056e-01,5.683633333333333315e-01,1.950611151668694282e-02,4.316366666666666685e-01,1.950611151668692894e-02,3.097373333333333107e+02,3.855287558606261822e+00,5.663841515151514239e-01,4.336158484848485206e-01,3.100114848484848835e+02
1.675000000000000100e-01,5.697436666666666483e-01,1.285422677787273482e-02,4.302563333333333517e-01,1.285422677787272441e-02,3.098280000000000314e+02,1.785524850416011722e+00,5.684751515151514889e-01,4.315248484848485666e-01,3.098753333333333444e+02
1.724999999999999867e-01,5.786316666666666553e-01,1.450224497465284548e-02,4.213683333333333447e-01,1.450224497465282120e-02,3.095003333333333444e+02,5.828851327711999986e+00,5.709882727272725944e-01,4.290117272727273501e-01,3.098122727272727275e+02
1.774999999999999911e-01,5.765219999999999789e-01,1.460888250580363174e-02,4.234780000000000211e-01,1.460888250580364908e-02,3.097930000000000064e+02,2.896709090598416303e+00,5.732790606060605976e-01,4.267209393939394579e-01,3.097925151515151470e+02
1.824999999999999956e-01,5.744793333333333418e-01,2.638659149726060166e-02,4.255206666666666582e-01,2.638659149726054962e-02,3.094066666666666947e+02,1.085102896639911219e+00,5.773895757575757681e-01,4.226104242424243429e-01,3.099290303030303448e+02
1.875000000000000000e-01,5.724730000000000096e-01,2.654723624033205817e-02,4.275269999999999904e-01,2.654723624033204082e-02,3.106140000000000327e+02,3.102595516687737476e+00,5.800343333333333184e-01,4.199656666666667371e-01,3.099175454545454613e+02
1.925000000000000322e-01,5.865973333333333040e-01,1.547393813726113260e-02,4.134026666666666405e-01,1.547393813726109964e-02,3.096913333333333753e+02,1.718804903500145143e+00,5.822472424242425282e-01,4.177527575757576384e-01,3.100396363636363617e+02
1.975000000000000089e-01,5.883853333333334268e-01,2.569468467576309020e-02,4.116146666666666287e-01,2.569468467576314225e-02,3.099439999999999600e+02,4.665221204710989222e-01,5.850580606060606925e-01,4.149419393939394740e-01,3.102076363636363681e+02
2.025000000000000133e-01,5.808779999999998944e-01,1.728136048824814239e-02,4.191219999999999946e-01,1.728136048824813545e-02,3.096796666666666624e+02,4.324933219845730648e+00,5.867575454545455038e-01,4.132424545454546072e-01,3.104265151515151615e+02
2.075000000000000178e-01,5.929096666666666682e-01,3.274351900127548537e-02,4.070903333333333318e-01,3.274351900127551313e-02,3.104860000000000468e+02,3.817156271362177833e+00,5.903580303030303567e-01,4.096419696969697544e-01,3.107133939393939386e+02
2.125000000000000222e-01,5.913943333333333552e-01,8.028009290441021073e-02,4.086056666666667003e-01,8.028009290441022461e-02,3.104126666666666665e+02,3.592207721358879446e+00,5.941512424242424428e-01,4.058487575757576682e-01,3.109943636363636301e+02
2.175000000000000266e-01,5.927053333333333063e-01,4.039585902538599810e-02,4.072946666666666382e-01,4.039585902538603973e-02,3.110803333333333285e+02,1.389817514512891261e+00,5.981900606060606140e-01,4.018099393939394970e-01,3.110466969696969954e+02
2.225000000000000033e-01,6.006626666666666781e-01,2.260396135214167920e-02,3.993373333333333774e-01,2.260396135214161675e-02,3.116759999999999877e+02,1.463692643230220636e+00,6.019912727272727082e-01,3.980087272727272363e-01,3.111533030303030500e+02
2.275000000000000078e-01,5.973260000000000236e-01,1.919826933617388084e-02,4.026740000000000319e-01,1.919826933617390513e-02,3.119079999999999586e+02,5.813478301826862982e+00,6.056877878787878533e-01,3.943122121212121467e-01,3.110383030303030978e+02
