x_over_L,macro_slip_over_Uwall,macro_T_K,micro_slip_over_Uwall,micro_T_K
1.000000000000000021e-02,8.636905044151454991e-01,3.000837673074503300e+02,1.109918997695040321e+00,3.121162085617227717e+02
2.999999999999999889e-02,7.333696532467561813e-01,2.972798760796404167e+02,9.899182174158245306e-01,3.036209092091751813e+02
5.000000000000000278e-02,6.047623220206728156e-01,3.003832253611861347e+02,7.472227366133168402e-01,2.995673166591531071e+02
7.000000000000000666e-02,5.686223516705106729e-01,3.049532339548797495e+02,1.047465923762089579e+00,3.219590759827208331e+02
8.999999999999999667e-02,5.734291364856310969e-01,3.041982996340918248e+02,1.122858787147095638e+00,3.202874521211386423e+02
1.100000000000000006e-01,5.499465865227224359e-01,3.034292782520512333e+02,1.097495599752327244e+00,3.012551339624929483e+02
1.300000000000000044e-01,5.147607697447972308e-01,3.052243776977034599e+02,7.214526795104783119e-01,2.922991286871576904e+02
1.499999999999999944e-01,5.058016742855327985e-01,2.999955153469454103e+02,7.644067731886352579e-01,2.970285004027617219e+02
1.700000000000000122e-01,4.417784715558428776e-01,2.927390081572804093e+02,5.570783160502438269e-01,2.918150816465320645e+02
1.900000000000000022e-01,4.841805675552891541e-01,3.027186048695569980e+02,9.546106146399817582e-01,2.873213922639732232e+02
2.099999999999999922e-01,5.000232686991780140e-01,3.060114991594901994e+02,6.874577632824638851e-01,3.102388227036502713e+02
2.300000000000000100e-01,4.591288414651001903e-01,3.097942080379820595e+02,5.908218821504316320e-01,2.945446787195895695e+02
2.500000000000000000e-01,4.319221886366484409e-01,3.131729143229449051e+02,6.797600348664337711e-01,3.081945010223998906e+02
2.700000000000000178e-01,3.943745363142523441e-01,3.083490746683585257e+02,8.304182750302016025e-01,3.266349277485282414e+02
2.899999999999999800e-01,4.055892762146064978e-01,3.137687619128774941e+02,7.265227886381668831e-01,2.993575301056545754e+02
3.099999999999999978e-01,4.121656933563002667e-01,3.014214932195911842e+02,4.875166753468025416e-01,3.146023468809648875e+02
3.300000000000000155e-01,4.128299963491212088e-01,3.021943303746526794e+02,7.848604591163649280e-01,3.010745626339341925e+02
3.499999999999999778e-01,3.941911387296427316e-01,3.015649779503980312e+02,9.089172143769100876e-01,2.990083256675116559e+02
3.699999999999999956e-01,3.857864772382375573e-01,3.052333984055929932e+02,7.746227208673108766e-01,3.000932144976611653e+02
3.900000000000000133e-01,3.965575174835571648e-01,3.076192264566224139e+02,4.970789741776293069e-01,3.024698860641719307e+02
4.099999999999999756e-01,3.880739398675775997e-01,3.039345811063052452e+02,6.165777763243467380e-01,3.153329791768989594e+02
4.299999999999999933e-01,4.221496624221585114e-01,3.020387089235775306e+02,8.649585848817963329e-01,3.015975232200273126e+02
4.500000000000000111e-01,4.218145339763313961e-01,2.987425827273449386e+02,6.636022806230406079e-01,2.986727863929783098e+02
4.699999999999999734e-01,3.576600843769375815e-01,3.088976151939374404e+02,7.982821604974730256e-01,2.857133092998997768e+02
4.899999999999999911e-01,3.684607517806082200e-01,3.086245188511333026e+02,7.150575902677397400e-01,3.019330176850025964e+02
5.100000000000000089e-01,4.009448560273264905e-01,3.024817423780971808e+02,5.581126849115516375e-01,3.098155032607134558e+02
5.300000000000000266e-01,4.070949075230994585e-01,2.964006362282034956e+02,3.833424328020945127e-01,2.987638412677411566e+02
5.500000000000000444e-01,3.831890248470953830e-01,3.013331599027123389e+02,7.268783359333750305e-01,3.111634560490102785e+02
5.699999999999999512e-01,3.524517109392961145e-01,3.056671210416097324e+02,5.086097677346307355e-01,3.086787584829107800e+02
5.899999999999999689e-01,4.076443572096759560e-01,3.025393175172680458e+02,5.370648360643075492e-01,2.931482474806141454e+02
6.099999999999999867e-01,4.023913644145968305e-01,3.066051536544081841e+02,6.145324491273468359e-01,3.002270061084390136e+02
6.300000000000000044e-01,4.001070847939546260e-01,3.046137167923409947e+02,7.348953890254296129e-01,3.046121108140978322e+02
6.500000000000000222e-01,4.278487315086932363e-01,3.143098051431604176e+02,6.977910321526955562e-01,3.203042965415948515e+02
6.700000000000000400e-01,4.388560897994498999e-01,3.136134671715840909e+02,5.714983319192904476e-01,2.935760520113971097e+02
