sampling,kn,x_over_l,u_slip_over_uwall,digitization_uncertainty_x,digitization_uncertainty_value
macroscopic,0.005,0.009103,0.873016,0.001,0.002
macroscopic,0.005,0.013655,0.694967,0.001,0.002
macroscopic,0.005,0.019308,0.589982,0.001,0.002
macroscopic,0.005,0.023853,0.518285,0.001,0.002
macroscopic,0.005,0.028358,0.464185,0.001,0.002
macroscopic,0.005,0.034058,0.423934,0.001,0.002
macroscopic,0.005,0.043107,0.359826,0.001,0.002
macroscopic,0.005,0.053326,0.313236,0.001,0.002
macroscopic,0.005,0.068055,0.266705,0.001,0.002
macroscopic,0.005,0.087340,0.222697,0.001,0.002
macroscopic,0.005,0.112301,0.187479,0.001,0.002
macroscopic,0.005,0.141738,0.154758,0.001,0.002
macroscopic,0.005,0.181405,0.130859,0.001,0.002
macroscopic,0.005,0.219968,0.113225,0.001,0.002
macroscopic,0.005,0.259682,0.098145,0.001,0.002
macroscopic,0.005,0.299350,0.089382,0.001,0.002
macroscopic,0.005,0.387755,0.073027,0.001,0.002
macroscopic,0.005,0.431981,0.062937,0.001,0.002
macroscopic,0.005,0.476204,0.059165,0.001,0.002
macroscopic,0.005,0.520410,0.056672,0.001,0.002
macroscopic,0.005,0.564613,0.055394,0.001,0.002
macroscopic,0.005,0.608835,0.056672,0.001,0.002
macroscopic,0.005,0.653061,0.057895,0.001,0.002
macroscopic,0.005,0.697267,0.064216,0.001,0.002
macroscopic,0.005,0.741530,0.066710,0.001,0.002
macroscopic,0.005,0.780069,0.079292,0.001,0.002
macroscopic,0.005,0.819740,0.091879,0.001,0.002
macroscopic,0.005,0.859411,0.114504,0.001,0.002
macroscopic,0.005,0.893422,0.144724,0.001,0.002
macroscopic,0.005,0.918384,0.181158,0.001,0.002
macroscopic,0.005,0.937625,0.232768,0.001,0.002
macroscopic,0.005,0.952391,0.291901,0.001,0.002
macroscopic,0.005,0.967161,0.397530,0.001,0.002
macroscopic,0.005,0.971632,0.451587,0.001,0.002
macroscopic,0.005,0.977356,0.523287,0.001,0.002
macroscopic,0.005,0.981847,0.625186,0.001,0.002
macroscopic,0.005,0.986402,0.781188,0.001,0.002
macroscopic,0.005,0.992062,0.500015,0.001,0.002
microscopic,0.005,0.026110,0.428959,0.001,0.002
microscopic,0.005,0.036312,0.388705,0.001,0.002
microscopic,0.005,0.046523,0.349729,0.001,0.002
microscopic,0.005,0.085056,0.222697,0.001,0.002
microscopic,0.005,0.105489,0.178660,0.001,0.002
microscopic,0.005,0.134945,0.133352,0.001,0.002
microscopic,0.005,0.174596,0.099419,0.001,0.002
microscopic,0.005,0.213159,0.080571,0.001,0.002
microscopic,0.005,0.263085,0.066710,0.001,0.002
microscopic,0.005,0.311843,0.057895,0.001,0.002
microscopic,0.005,0.361705,0.051621,0.001,0.002
microscopic,0.005,0.410486,0.046575,0.001,0.002
microscopic,0.005,0.460349,0.041587,0.001,0.002
microscopic,0.005,0.509106,0.039042,0.001,0.002
microscopic,0.005,0.607727,0.037760,0.001,0.002
microscopic,0.005,0.656447,0.037760,0.001,0.002
microscopic,0.005,0.706370,0.041587,0.001,0.002
microscopic,0.005,0.755124,0.047857,0.001,0.002
microscopic,0.005,0.804990,0.060440,0.001,0.002
microscopic,0.005,0.844705,0.079292,0.001,0.002
microscopic,0.005,0.883227,0.119546,0.001,0.002
microscopic,0.005,0.903617,0.154758,0.001,0.002
microscopic,0.005,0.922918,0.205053,0.001,0.002
microscopic,0.005,0.952391,0.312028,0.001,0.002
microscopic,0.005,0.962590,0.354757,0.001,0.002
microscopic,0.005,0.972801,0.401284,0.001,0.002
microscopic,0.005,0.981847,0.450360,0.001,0.002
macroscopic,0.05,0.013092,0.789051,0.001,0.002
macroscopic,0.05,0.017896,0.691638,0.001,0.002
macroscopic,0.05,0.022616,0.639845,0.001,0.002
macroscopic,0.05,0.033320,0.580584,0.001,0.002
macroscopic,0.05,0.042882,0.541829,0.001,0.002
macroscopic,0.05,0.057163,0.501879,0.001,0.002
macroscopic,0.05,0.077405,0.459424,0.001,0.002
macroscopic,0.05,0.096448,0.425101,0.001,0.002
macroscopic,0.05,0.121452,0.393220,0.001,0.002
macroscopic,0.05,0.151241,0.363291,0.001,0.002
macroscopic,0.05,0.181003,0.337092,0.001,0.002
macroscopic,0.05,0.214874,0.312102,0.001,0.002
macroscopic,0.05,0.249439,0.290860,0.001,0.002
macroscopic,0.05,0.289299,0.274679,0.001,0.002
macroscopic,0.05,0.328583,0.262197,0.001,0.002
macroscopic,0.05,0.367868,0.250910,0.001,0.002
macroscopic,0.05,0.446413,0.234129,0.001,0.002
macroscopic,0.05,0.485701,0.232202,0.001,0.002
macroscopic,0.05,0.524982,0.230974,0.001,0.002
macroscopic,0.05,0.564267,0.233507,0.001,0.002
macroscopic,0.05,0.603559,0.235949,0.001,0.002
macroscopic,0.05,0.642833,0.241002,0.001,0.002
macroscopic,0.05,0.682125,0.253440,0.001,0.002
macroscopic,0.05,0.721981,0.267209,0.001,0.002
macroscopic,0.05,0.761907,0.285921,0.001,0.002
macroscopic,0.05,0.795806,0.305872,0.001,0.002
macroscopic,0.05,0.830361,0.332141,0.001,0.002
macroscopic,0.05,0.859509,0.362673,0.001,0.002
macroscopic,0.05,0.884520,0.394554,0.001,0.002
macroscopic,0.05,0.909520,0.434505,0.001,0.002
macroscopic,0.05,0.928555,0.471928,0.001,0.002
macroscopic,0.05,0.944064,0.511897,0.001,0.002
macroscopic,0.05,0.967865,0.611738,0.001,0.002
macroscopic,0.05,0.977938,0.681616,0.001,0.002
macroscopic,0.05,0.983352,0.740300,0.001,0.002
macroscopic,0.05,0.988068,0.846473,0.001,0.002
microscopic,0.05,0.011911,0.573023,0.001,0.002
microscopic,0.05,0.027398,0.530612,0.001,0.002
microscopic,0.05,0.041694,0.490640,0.001,0.002
microscopic,0.05,0.061900,0.444413,0.001,0.002
microscopic,0.05,0.080964,0.409519,0.001,0.002
microscopic,0.05,0.105968,0.374508,0.001,0.002
microscopic,0.05,0.135729,0.342049,0.001,0.002
microscopic,0.05,0.165498,0.315850,0.001,0.002
microscopic,0.05,0.200024,0.290860,0.001,0.002
microscopic,0.05,0.234569,0.269691,0.001,0.002
microscopic,0.05,0.273853,0.252219,0.001,0.002
microscopic,0.05,0.313138,0.239671,0.001,0.002
microscopic,0.05,0.352423,0.228447,0.001,0.002
microscopic,0.05,0.391708,0.218485,0.001,0.002
microscopic,0.05,0.435712,0.213490,0.001,0.002
microscopic,0.05,0.479779,0.208533,0.001,0.002
microscopic,0.05,0.524982,0.205995,0.001,0.002
microscopic,0.05,0.569053,0.207209,0.001,0.002
microscopic,0.05,0.613114,0.211018,0.001,0.002
microscopic,0.05,0.652405,0.219753,0.001,0.002
microscopic,0.05,0.691669,0.228447,0.001,0.002
microscopic,0.05,0.730950,0.238472,0.001,0.002
microscopic,0.05,0.770238,0.254661,0.001,0.002
microscopic,0.05,0.810095,0.277139,0.001,0.002
microscopic,0.05,0.844656,0.303412,0.001,0.002
microscopic,0.05,0.873808,0.329615,0.001,0.002
microscopic,0.05,0.903601,0.365821,0.001,0.002
microscopic,0.05,0.923804,0.399494,0.001,0.002
microscopic,0.05,0.942865,0.446942,0.001,0.002
microscopic,0.05,0.958349,0.492520,0.001,0.002
microscopic,0.05,0.972647,0.549324,0.001,0.002
microscopic,0.05,0.982128,0.593022,0.001,0.002
microscopic,0.05,0.992872,0.637915,0.001,0.002
macroscopic,0.1,0.010836,0.859650,0.001,0.002
macroscopic,0.1,0.015580,0.734252,0.001,0.002
macroscopic,0.1,0.020409,0.675858,0.001,0.002
macroscopic,0.1,0.030607,0.616182,0.001,0.002
macroscopic,0.1,0.045527,0.572674,0.001,0.002
macroscopic,0.1,0.064720,0.535438,0.001,0.002
macroscopic,0.1,0.089880,0.500629,0.001,0.002
macroscopic,0.1,0.119774,0.469607,0.001,0.002
macroscopic,0.1,0.153340,0.444741,0.001,0.002
macroscopic,0.1,0.188028,0.418692,0.001,0.002
macroscopic,0.1,0.227616,0.397555,0.001,0.002
macroscopic,0.1,0.267115,0.382639,0.001,0.002
macroscopic,0.1,0.306656,0.367752,0.001,0.002
macroscopic,0.1,0.346159,0.359057,0.001,0.002
macroscopic,0.1,0.385654,0.351537,0.001,0.002
macroscopic,0.1,0.425192,0.342889,0.001,0.002
macroscopic,0.1,0.504236,0.339164,0.001,0.002
macroscopic,0.1,0.543736,0.342889,0.001,0.002
macroscopic,0.1,0.582684,0.345403,0.001,0.002
macroscopic,0.1,0.621563,0.354055,0.001,0.002
macroscopic,0.1,0.661083,0.360316,0.001,0.002
macroscopic,0.1,0.700603,0.370219,0.001,0.002
macroscopic,0.1,0.740127,0.385178,0.001,0.002
macroscopic,0.1,0.779683,0.404991,0.001,0.002
macroscopic,0.1,0.814398,0.423611,0.001,0.002
macroscopic,0.1,0.849150,0.449689,0.001,0.002
macroscopic,0.1,0.877901,0.478277,0.001,0.002
macroscopic,0.1,0.907802,0.513108,0.001,0.002
macroscopic,0.1,0.932956,0.551544,0.001,0.002
macroscopic,0.1,0.952134,0.593833,0.001,0.002
macroscopic,0.1,0.967714,0.642900,0.001,0.002
macroscopic,0.1,0.977287,0.690766,0.001,0.002
macroscopic,0.1,0.986843,0.807516,0.001,0.002
microscopic,0.1,0.012007,0.578914,0.001,0.002
microscopic,0.1,0.032392,0.545410,0.001,0.002
microscopic,0.1,0.056335,0.506869,0.001,0.002
microscopic,0.1,0.081471,0.475810,0.001,0.002
microscopic,0.1,0.111436,0.443555,0.001,0.002
microscopic,0.1,0.144910,0.417433,0.001,0.002
microscopic,0.1,0.184434,0.395016,0.001,0.002
microscopic,0.1,0.224000,0.377720,0.001,0.002
microscopic,0.1,0.263541,0.362764,0.001,0.002
microscopic,0.1,0.303037,0.350347,0.001,0.002
microscopic,0.1,0.342582,0.340375,0.001,0.002
microscopic,0.1,0.382074,0.329195,0.001,0.002
microscopic,0.1,0.421601,0.323014,0.001,0.002
microscopic,0.1,0.465926,0.316811,0.001,0.002
microscopic,0.1,0.510190,0.316811,0.001,0.002
microscopic,0.1,0.554504,0.319300,0.001,0.002
microscopic,0.1,0.598854,0.322418,0.001,0.002
microscopic,0.1,0.638356,0.329195,0.001,0.002
microscopic,0.1,0.677880,0.339164,0.001,0.002
microscopic,0.1,0.717393,0.350347,0.001,0.002
microscopic,0.1,0.756921,0.362764,0.001,0.002
microscopic,0.1,0.796437,0.381449,0.001,0.002
microscopic,0.1,0.829975,0.401259,0.001,0.002
microscopic,0.1,0.864691,0.427336,0.001,0.002
microscopic,0.1,0.894631,0.457122,0.001,0.002
microscopic,0.1,0.924592,0.493168,0.001,0.002
microscopic,0.1,0.948511,0.535438,0.001,0.002
microscopic,0.1,0.968885,0.583861,0.001,0.002
microscopic,0.1,0.983245,0.628668,0.001,0.002
