sampling,kn,x_over_l,temperature_K,digitization_uncertainty_x,digitization_uncertainty_K
macroscopic,0.005,0.012591,302.16557,0.001,0.03
macroscopic,0.005,0.017558,303.61825,0.001,0.03
macroscopic,0.005,0.022534,304.37630,0.001,0.03
macroscopic,0.005,0.042192,304.53933,0.001,0.03
macroscopic,0.005,0.056988,304.04837,0.001,0.03
macroscopic,0.005,0.076650,303.53161,0.001,0.03
macroscopic,0.005,0.096418,303.10883,0.001,0.03
macroscopic,0.005,0.130884,302.71642,0.001,0.03
macroscopic,0.005,0.160367,302.36546,0.001,0.03
macroscopic,0.005,0.189968,301.97578,0.001,0.03
macroscopic,0.005,0.229398,301.75937,0.001,0.03
macroscopic,0.005,0.263860,301.37894,0.001,0.03
macroscopic,0.005,0.303290,301.17079,0.001,0.03
macroscopic,0.005,0.337748,301.04919,0.001,0.03
macroscopic,0.005,0.391869,300.95336,0.001,0.03
macroscopic,0.005,0.436270,300.83731,0.001,0.03
macroscopic,0.005,0.480557,300.73782,0.001,0.03
macroscopic,0.005,0.519987,300.84652,0.001,0.03
macroscopic,0.005,0.569250,300.87321,0.001,0.03
macroscopic,0.005,0.618509,300.87416,0.001,0.03
macroscopic,0.005,0.672629,300.91467,0.001,0.03
macroscopic,0.005,0.717030,301.17353,0.001,0.03
macroscopic,0.005,0.756460,301.44804,0.001,0.03
macroscopic,0.005,0.800751,301.66913,0.001,0.03
macroscopic,0.005,0.835214,302.02093,0.001,0.03
macroscopic,0.005,0.859839,302.46125,0.001,0.03
macroscopic,0.005,0.884469,302.97067,0.001,0.03
macroscopic,0.005,0.904244,303.41190,0.001,0.03
macroscopic,0.005,0.918931,303.92216,0.001,0.03
macroscopic,0.005,0.928870,304.43527,0.001,0.03
macroscopic,0.005,0.938703,304.87921,0.001,0.03
macroscopic,0.005,0.948532,305.57743,0.001,0.03
macroscopic,0.005,0.958361,306.38619,0.001,0.03
macroscopic,0.005,0.968190,307.14521,0.001,0.03
macroscopic,0.005,0.973161,307.61408,0.001,0.03
macroscopic,0.005,0.982986,307.95210,0.001,0.03
microscopic,0.005,0.014796,306.85966,0.001,0.03
microscopic,0.005,0.034568,306.15961,0.001,0.03
microscopic,0.005,0.054226,305.47981,0.001,0.03
microscopic,0.005,0.073998,304.83961,0.001,0.03
microscopic,0.005,0.093770,304.25195,0.001,0.03
microscopic,0.005,0.113537,303.72692,0.001,0.03
microscopic,0.005,0.133199,303.26912,0.001,0.03
microscopic,0.005,0.162906,302.70720,0.001,0.03
microscopic,0.005,0.192506,302.27979,0.001,0.03
microscopic,0.005,0.231936,301.87819,0.001,0.03
microscopic,0.005,0.281313,301.56317,0.001,0.03
microscopic,0.005,0.340510,301.36051,0.001,0.03
microscopic,0.005,0.399817,301.27115,0.001,0.03
microscopic,0.005,0.459023,301.22603,0.001,0.03
microscopic,0.005,0.518224,301.16893,0.001,0.03
microscopic,0.005,0.577531,301.10074,0.001,0.03
microscopic,0.005,0.636737,301.08326,0.001,0.03
microscopic,0.005,0.695934,301.19931,0.001,0.03
microscopic,0.005,0.745307,301.45539,0.001,0.03
microscopic,0.005,0.784842,301.82660,0.001,0.03
microscopic,0.005,0.814443,302.25676,0.001,0.03
microscopic,0.005,0.844044,302.87301,0.001,0.03
microscopic,0.005,0.863815,303.41281,0.001,0.03
microscopic,0.005,0.883473,304.06866,0.001,0.03
microscopic,0.005,0.903245,304.84605,0.001,0.03
microscopic,0.005,0.913188,305.27989,0.001,0.03
microscopic,0.005,0.923017,305.74236,0.001,0.03
microscopic,0.005,0.932846,306.23234,0.001,0.03
microscopic,0.005,0.942789,306.74544,0.001,0.03
microscopic,0.005,0.952622,307.28061,0.001,0.03
microscopic,0.005,0.962447,307.83327,0.001,0.03
macroscopic,0.05,0.010570,302.97835,0.001,0.03
macroscopic,0.05,0.015462,304.98487,0.001,0.03
macroscopic,0.05,0.030242,305.62428,0.001,0.03
macroscopic,0.05,0.050028,305.21388,0.001,0.03
macroscopic,0.05,0.074588,305.05579,0.001,0.03
macroscopic,0.05,0.094256,304.79540,0.001,0.03
macroscopic,0.05,0.114037,304.38850,0.001,0.03
macroscopic,0.05,0.133709,304.43031,0.001,0.03
macroscopic,0.05,0.168162,304.43621,0.001,0.03
macroscopic,0.05,0.187830,304.20946,0.001,0.03
macroscopic,0.05,0.212499,303.98742,0.001,0.03
macroscopic,0.05,0.246952,303.81539,0.001,0.03
macroscopic,0.05,0.276521,303.65611,0.001,0.03
macroscopic,0.05,0.301077,303.55146,0.001,0.03
macroscopic,0.05,0.320858,303.51196,0.001,0.03
macroscopic,0.05,0.355311,303.37708,0.001,0.03
macroscopic,0.05,0.394656,303.39572,0.001,0.03
macroscopic,0.05,0.434105,303.26546,0.001,0.03
macroscopic,0.05,0.458661,303.59912,0.001,0.03
macroscopic,0.05,0.493114,303.45031,0.001,0.03
macroscopic,0.05,0.512899,303.24336,0.001,0.03
macroscopic,0.05,0.542460,303.57125,0.001,0.03
macroscopic,0.05,0.567020,303.62584,0.001,0.03
macroscopic,0.05,0.596581,303.67355,0.001,0.03
macroscopic,0.05,0.621258,303.63636,0.001,0.03
macroscopic,0.05,0.650710,304.01418,0.001,0.03
macroscopic,0.05,0.675375,304.00255,0.001,0.03
macroscopic,0.05,0.704940,304.33853,0.001,0.03
macroscopic,0.05,0.729500,304.40945,0.001,0.03
macroscopic,0.05,0.754177,304.71169,0.001,0.03
macroscopic,0.05,0.778737,304.77094,0.001,0.03
macroscopic,0.05,0.798518,305.15458,0.001,0.03
macroscopic,0.05,0.818182,305.53711,0.001,0.03
macroscopic,0.05,0.847747,305.88116,0.001,0.03
macroscopic,0.05,0.877308,306.36364,0.001,0.03
macroscopic,0.05,0.901872,306.77169,0.001,0.03
macroscopic,0.05,0.926550,307.23202,0.001,0.03
macroscopic,0.05,0.946218,307.80517,0.001,0.03
macroscopic,0.05,0.970891,308.29226,0.001,0.03
macroscopic,0.05,0.980666,308.89213,0.001,0.03
microscopic,0.05,0.009888,308.01678,0.001,0.03
microscopic,0.05,0.024673,307.47035,0.001,0.03
microscopic,0.05,0.044341,306.79259,0.001,0.03
microscopic,0.05,0.064009,306.21478,0.001,0.03
microscopic,0.05,0.088687,305.64634,0.001,0.03
microscopic,0.05,0.118247,305.14296,0.001,0.03
microscopic,0.05,0.152696,304.71862,0.001,0.03
microscopic,0.05,0.197041,304.33387,0.001,0.03
microscopic,0.05,0.246275,303.98742,0.001,0.03
microscopic,0.05,0.295504,303.70959,0.001,0.03
microscopic,0.05,0.349742,303.52705,0.001,0.03
microscopic,0.05,0.403976,303.47707,0.001,0.03
microscopic,0.05,0.458092,303.55842,0.001,0.03
microscopic,0.05,0.512330,303.63636,0.001,0.03
microscopic,0.05,0.566451,303.72703,0.001,0.03
microscopic,0.05,0.620693,303.90372,0.001,0.03
microscopic,0.05,0.669922,304.16876,0.001,0.03
microscopic,0.05,0.714264,304.50470,0.001,0.03
microscopic,0.05,0.758605,304.87910,0.001,0.03
microscopic,0.05,0.802950,305.27197,0.001,0.03
microscopic,0.05,0.842295,305.73120,0.001,0.03
microscopic,0.05,0.871856,306.20435,0.001,0.03
microscopic,0.05,0.896529,306.70427,0.001,0.03
microscopic,0.05,0.921202,307.31337,0.001,0.03
microscopic,0.05,0.940870,307.89229,0.001,0.03
microscopic,0.05,0.960542,308.55501,0.001,0.03
microscopic,0.05,0.975327,309.09789,0.001,0.03
microscopic,0.05,0.990107,309.66283,0.001,0.03
macroscopic,0.1,0.008432,301.22722,0.001,0.03
macroscopic,0.1,0.013289,304.60436,0.001,0.03
macroscopic,0.1,0.018257,305.38525,0.001,0.03
macroscopic,0.1,0.047844,305.87196,0.001,0.03
macroscopic,0.1,0.077542,305.64241,0.001,0.03
macroscopic,0.1,0.107125,305.36909,0.001,0.03
macroscopic,0.1,0.121927,305.42563,0.001,0.03
macroscopic,0.1,0.151621,304.83391,0.001,0.03
macroscopic,0.1,0.176240,304.97693,0.001,0.03
macroscopic,0.1,0.195997,304.68745,0.001,0.03
macroscopic,0.1,0.215764,304.92153,0.001,0.03
macroscopic,0.1,0.245346,304.70009,0.001,0.03
macroscopic,0.1,0.284870,304.64016,0.001,0.03
macroscopic,0.1,0.304636,304.52593,0.001,0.03
macroscopic,0.1,0.314453,304.28718,0.001,0.03
macroscopic,0.1,0.344159,304.52479,0.001,0.03
macroscopic,0.1,0.373746,304.47979,0.001,0.03
macroscopic,0.1,0.393508,304.45561,0.001,0.03
macroscopic,0.1,0.413265,304.78318,0.001,0.03
macroscopic,0.1,0.432912,304.49828,0.001,0.03
macroscopic,0.1,0.457651,304.40365,0.001,0.03
macroscopic,0.1,0.477408,304.79929,0.001,0.03
macroscopic,0.1,0.497170,304.70357,0.001,0.03
macroscopic,0.1,0.526753,304.58939,0.001,0.03
macroscopic,0.1,0.546519,304.78199,0.001,0.03
macroscopic,0.1,0.576106,304.80159,0.001,0.03
macroscopic,0.1,0.600835,304.85236,0.001,0.03
macroscopic,0.1,0.615629,305.07266,0.001,0.03
macroscopic,0.1,0.650180,305.03805,0.001,0.03
macroscopic,0.1,0.669946,305.41405,0.001,0.03
macroscopic,0.1,0.689708,305.70128,0.001,0.03
macroscopic,0.1,0.719291,305.86505,0.001,0.03
macroscopic,0.1,0.744021,305.93079,0.001,0.03
macroscopic,0.1,0.753846,306.17187,0.001,0.03
macroscopic,0.1,0.783548,306.43137,0.001,0.03
macroscopic,0.1,0.798342,306.63436,0.001,0.03
macroscopic,0.1,0.822952,306.45787,0.001,0.03
macroscopic,0.1,0.837750,306.98271,0.001,0.03
macroscopic,0.1,0.862484,306.79121,0.001,0.03
macroscopic,0.1,0.892063,307.06110,0.001,0.03
macroscopic,0.1,0.916797,307.25026,0.001,0.03
macroscopic,0.1,0.931586,307.49135,0.001,0.03
macroscopic,0.1,0.951352,307.82125,0.001,0.03
macroscopic,0.1,0.976082,308.12689,0.001,0.03
macroscopic,0.1,0.985903,309.10611,0.001,0.03
microscopic,0.1,0.009936,308.97577,0.001,0.03
microscopic,0.1,0.024730,308.25260,0.001,0.03
microscopic,0.1,0.039519,307.58017,0.001,0.03
microscopic,0.1,0.054317,306.99773,0.001,0.03
microscopic,0.1,0.074074,306.39103,0.001,0.03
microscopic,0.1,0.098808,305.88698,0.001,0.03
microscopic,0.1,0.138217,305.43831,0.001,0.03
microscopic,0.1,0.187566,305.11418,0.001,0.03
microscopic,0.1,0.246847,304.92963,0.001,0.03
microscopic,0.1,0.310989,304.89736,0.001,0.03
microscopic,0.1,0.375132,304.95042,0.001,0.03
microscopic,0.1,0.439270,304.98269,0.001,0.03
microscopic,0.1,0.503523,304.98499,0.001,0.03
microscopic,0.1,0.567666,305.01845,0.001,0.03
microscopic,0.1,0.621987,305.24219,0.001,0.03
microscopic,0.1,0.671332,305.58825,0.001,0.03
microscopic,0.1,0.720676,305.93656,0.001,0.03
microscopic,0.1,0.770025,306.26875,0.001,0.03
microscopic,0.1,0.814402,306.65858,0.001,0.03
microscopic,0.1,0.858897,307.11420,0.001,0.03
microscopic,0.1,0.898421,307.52134,0.001,0.03
microscopic,0.1,0.932861,308.00232,0.001,0.03
microscopic,0.1,0.957587,308.51329,0.001,0.03
microscopic,0.1,0.977353,309.02883,0.001,0.03
