x_over_l,qy_over_q0,fixed_y_over_l,digitization_uncertainty_x,digitization_uncertainty_value
0.0074906,-0.3720523,0.8,0.002,0.015
0.0124510,-0.4957338,0.8,0.002,0.015
0.0174114,-0.6188595,0.8,0.002,0.015
0.0223719,-0.7403353,0.8,0.002,0.015
0.0273381,-0.8593201,0.8,0.002,0.015
0.0322046,-0.9750073,0.8,0.002,0.015
0.0350865,-1.0391152,0.8,0.002,0.015
0.0380040,-1.1033907,0.8,0.002,0.015
0.0409923,-1.1677679,0.8,0.002,0.015
0.0440866,-1.2321811,0.8,0.002,0.015
0.0473222,-1.2965643,0.8,0.002,0.015
0.0507342,-1.3608519,0.8,0.002,0.015
0.0543579,-1.4249780,0.8,0.002,0.015
0.0582285,-1.4888767,0.8,0.002,0.015
0.0623813,-1.5524822,0.8,0.002,0.015
0.0668514,-1.6157287,0.8,0.002,0.015
0.0718059,-1.6779808,0.8,0.002,0.015
0.0767723,-1.7330822,0.8,0.002,0.015
0.0790188,-1.7554147,0.8,0.002,0.015
0.0815685,-1.7796946,0.8,0.002,0.015
0.0844496,-1.8052448,0.8,0.002,0.015
0.0876905,-1.8313884,0.8,0.002,0.015
0.0913196,-1.8574486,0.8,0.002,0.015
0.0953652,-1.8827485,0.8,0.002,0.015
0.0998556,-1.9066110,0.8,0.002,0.015
0.1048192,-1.9283594,0.8,0.002,0.015
0.1102844,-1.9473166,0.8,0.002,0.015
0.1162795,-1.9628059,0.8,0.002,0.015
0.1212459,-1.9713558,0.8,0.002,0.015
0.1262122,-1.9768588,0.8,0.002,0.015
0.1311727,-1.9790633,0.8,0.002,0.015
0.1414864,-1.9758345,0.8,0.002,0.015
0.1521466,-1.9620234,0.8,0.002,0.015
0.1629472,-1.9396708,0.8,0.002,0.015
0.1736820,-1.9108174,0.8,0.002,0.015
0.1841451,-1.8775039,0.8,0.002,0.015
0.1941301,-1.8417712,0.8,0.002,0.015
0.2034311,-1.8056598,0.8,0.002,0.015
0.2118419,-1.7712106,0.8,0.002,0.015
0.2191564,-1.7404643,0.8,0.002,0.015
0.2251685,-1.7154615,0.8,0.002,0.015
0.2301289,-1.6942393,0.8,0.002,0.015
0.2350012,-1.6724777,0.8,0.002,0.015
0.2399616,-1.6504481,0.8,0.002,0.015
0.2449280,-1.6281318,0.8,0.002,0.015
0.2543962,-1.5853291,0.8,0.002,0.015
0.2635919,-1.5416045,0.8,0.002,0.015
0.2726114,-1.4972642,0.8,0.002,0.015
0.2815513,-1.4526145,0.8,0.002,0.015
0.2905082,-1.4079619,0.8,0.002,0.015
0.2995784,-1.3636125,0.8,0.002,0.015
0.3088586,-1.3198727,0.8,0.002,0.015
0.3184452,-1.2770487,0.8,0.002,0.015
0.3284348,-1.2354470,0.8,0.002,0.015
0.3389238,-1.1953737,0.8,0.002,0.015
0.3438842,-1.1780232,0.8,0.002,0.015
0.3488506,-1.1612275,0.8,0.002,0.015
0.3575577,-1.1341594,0.8,0.002,0.015
0.3665430,-1.1063328,0.8,0.002,0.015
0.3758005,-1.0782011,0.8,0.002,0.015
0.3853242,-1.0502180,0.8,0.002,0.015
0.3951080,-1.0228369,0.8,0.002,0.015
0.4051460,-0.9965115,0.8,0.002,0.015
0.4154321,-0.9716951,0.8,0.002,0.015
0.4259602,-0.9488415,0.8,0.002,0.015
0.4367244,-0.9284040,0.8,0.002,0.015
0.4477187,-0.9108363,0.8,0.002,0.015
0.4526791,-0.9033979,0.8,0.002,0.015
0.4576455,-0.8962451,0.8,0.002,0.015
0.4626059,-0.8893624,0.8,0.002,0.015
0.4674784,-0.8824612,0.8,0.002,0.015
0.4773993,-0.8686949,0.8,0.002,0.015
0.4870737,-0.8543912,0.8,0.002,0.015
0.4965456,-0.8389999,0.8,0.002,0.015
0.5058681,-0.8228237,0.8,0.002,0.015
0.5150943,-0.8061656,0.8,0.002,0.015
0.5242775,-0.7893283,0.8,0.002,0.015
0.5334707,-0.7726147,0.8,0.002,0.015
0.5427270,-0.7563277,0.8,0.002,0.015
0.5520997,-0.7407701,0.8,0.002,0.015
0.5616419,-0.7262446,0.8,0.002,0.015
0.5714067,-0.7130543,0.8,0.002,0.015
0.5763612,-0.7069955,0.8,0.002,0.015
0.5813276,-0.7014925,0.8,0.002,0.015
0.5926054,-0.6907384,0.8,0.002,0.015
0.6032489,-0.6807168,0.8,0.002,0.015
0.6133801,-0.6709426,0.8,0.002,0.015
0.6231209,-0.6609308,0.8,0.002,0.015
0.6325933,-0.6501962,0.8,0.002,0.015
0.6419191,-0.6382539,0.8,0.002,0.015
0.6512203,-0.6246187,0.8,0.002,0.015
0.6606189,-0.6088056,0.8,0.002,0.015
0.6702367,-0.5903295,0.8,0.002,0.015
0.6801958,-0.5687053,0.8,0.002,0.015
0.6851563,-0.5574312,0.8,0.002,0.015
0.6901167,-0.5455827,0.8,0.002,0.015
0.6950772,-0.5329093,0.8,0.002,0.015
0.6999554,-0.5196999,0.8,0.002,0.015
0.7119705,-0.4845436,0.8,0.002,0.015
0.7233385,-0.4471299,0.8,0.002,0.015
0.7340840,-0.4077295,0.8,0.002,0.015
0.7442318,-0.3666135,0.8,0.002,0.015
0.7538068,-0.3240526,0.8,0.002,0.015
0.7628338,-0.2803179,0.8,0.002,0.015
0.7713375,-0.2356802,0.8,0.002,0.015
0.7793428,-0.1904104,0.8,0.002,0.015
0.7868743,-0.1447794,0.8,0.002,0.015
0.7939571,-0.0990582,0.8,0.002,0.015
0.7989175,-0.0654667,0.8,0.002,0.015
0.8038780,-0.0302091,0.8,0.002,0.015
0.8088384,0.0064293,0.8,0.002,0.015
0.8132419,0.0405536,0.8,0.002,0.015
0.8175306,0.0748846,0.8,0.002,0.015
0.8217099,0.1093958,0.8,0.002,0.015
0.8257851,0.1440603,0.8,0.002,0.015
0.8297617,0.1788516,0.8,0.002,0.015
0.8336449,0.2137429,0.8,0.002,0.015
0.8374402,0.2487077,0.8,0.002,0.015
0.8411528,0.2837192,0.8,0.002,0.015
0.8447881,0.3187507,0.8,0.002,0.015
0.8483516,0.3537756,0.8,0.002,0.015
0.8533120,0.4028183,0.8,0.002,0.015
0.8582784,0.4526672,0.8,0.002,0.015
0.8620244,0.4898324,0.8,0.002,0.015
0.8657184,0.5271699,0.8,0.002,0.015
0.8693977,0.5646100,0.8,0.002,0.015
0.8730997,0.6020830,0.8,0.002,0.015
0.8768616,0.6395192,0.8,0.002,0.015
0.8807210,0.6768489,0.8,0.002,0.015
0.8847151,0.7140025,0.8,0.002,0.015
0.8888813,0.7509102,0.8,0.002,0.015
0.8932571,0.7875024,0.8,0.002,0.015
0.8978797,0.8237093,0.8,0.002,0.015
0.9028401,0.8575875,0.8,0.002,0.015
0.9077124,0.8859625,0.8,0.002,0.015
0.9126728,0.9080097,0.8,0.002,0.015
0.9176274,0.9225998,0.8,0.002,0.015
0.9225937,0.9286586,0.8,0.002,0.015
0.9275601,0.9250745,0.8,0.002,0.015
0.9325146,0.9115762,0.8,0.002,0.015
0.9373869,0.8870741,0.8,0.002,0.015
0.9423533,0.8512595,0.8,0.002,0.015
0.9473137,0.8041533,0.8,0.002,0.015
0.9522800,0.7463103,0.8,0.002,0.015
0.9572346,0.6782674,0.8,0.002,0.015
0.9622009,0.6014241,0.8,0.002,0.015
0.9670673,0.5174104,0.8,0.002,0.015
0.9720337,0.4281628,0.8,0.002,0.015
0.9769941,0.3353312,0.8,0.002,0.015
0.9819546,0.2402939,0.8,0.002,0.015
0.9869150,0.1441626,0.8,0.002,0.015
0.9917875,0.0474767,0.8,0.002,0.015
