y_over_l,temperature_K,fixed_x_over_l,digitization_uncertainty_y,digitization_uncertainty_K
0.0123980,300.279099,0.8,0.002,0.04
0.0173511,300.288591,0.8,0.002,0.04
0.0223163,300.289865,0.8,0.002,0.04
0.0271800,300.299358,0.8,0.002,0.04
0.0370924,300.319534,0.8,0.002,0.04
0.0420517,300.338478,0.8,0.002,0.04
0.0470048,300.349859,0.8,0.002,0.04
0.0519699,300.359311,0.8,0.002,0.04
0.0569350,300.379529,0.8,0.002,0.04
0.0618885,300.389596,0.8,0.002,0.04
0.0667519,300.399705,0.8,0.002,0.04
0.0717112,300.418033,0.8,0.002,0.04
0.0766705,300.429414,0.8,0.002,0.04
0.0865829,300.449591,0.8,0.002,0.04
0.0915421,300.467960,0.8,0.002,0.04
0.0965073,300.478027,0.8,0.002,0.04
0.1013707,300.489410,0.8,0.002,0.04
0.1063241,300.507695,0.8,0.002,0.04
0.1162423,300.527954,0.8,0.002,0.04
0.1212016,300.539296,0.8,0.002,0.04
0.1261547,300.557582,0.8,0.002,0.04
0.1311198,300.567691,0.8,0.002,0.04
0.1359894,300.579073,0.8,0.002,0.04
0.1409425,300.597400,0.8,0.002,0.04
0.1459018,300.607468,0.8,0.002,0.04
0.1508553,300.619508,0.8,0.002,0.04
0.1547439,300.632833,0.8,0.002,0.04
0.1586739,300.645059,0.8,0.002,0.04
0.1626356,300.656467,0.8,0.002,0.04
0.1666193,300.667336,0.8,0.002,0.04
0.1706150,300.677946,0.8,0.002,0.04
0.1746131,300.688577,0.8,0.002,0.04
0.1786037,300.699509,0.8,0.002,0.04
0.1825770,300.711022,0.8,0.002,0.04
0.1865234,300.723395,0.8,0.002,0.04
0.1904330,300.736909,0.8,0.002,0.04
0.1953864,300.748949,0.8,0.002,0.04
0.2003454,300.766618,0.8,0.002,0.04
0.2053105,300.786836,0.8,0.002,0.04
0.2101742,300.796903,0.8,0.002,0.04
0.2151332,300.808903,0.8,0.002,0.04
0.2200866,300.826614,0.8,0.002,0.04
0.2250517,300.836722,0.8,0.002,0.04
0.2300048,300.849337,0.8,0.002,0.04
0.2349641,300.866391,0.8,0.002,0.04
0.2399176,300.876499,0.8,0.002,0.04
0.2447930,300.886608,0.8,0.002,0.04
0.2497523,300.896717,0.8,0.002,0.04
0.2547054,300.906209,0.8,0.002,0.04
0.2745360,300.946603,0.8,0.002,0.04
0.2794056,300.956054,0.8,0.002,0.04
0.2843590,300.968711,0.8,0.002,0.04
0.2893242,300.985764,0.8,0.002,0.04
0.2942834,300.995831,0.8,0.002,0.04
0.2992365,301.015433,0.8,0.002,0.04
0.3041955,301.035651,0.8,0.002,0.04
0.3091489,301.045760,0.8,0.002,0.04
0.3141141,301.065319,0.8,0.002,0.04
0.3189774,301.085536,0.8,0.002,0.04
0.3239367,301.105096,0.8,0.002,0.04
0.3283985,301.122958,0.8,0.002,0.04
0.3328545,301.140883,0.8,0.002,0.04
0.3373062,301.158852,0.8,0.002,0.04
0.3417549,301.176849,0.8,0.002,0.04
0.3462023,301.194857,0.8,0.002,0.04
0.3506497,301.212859,0.8,0.002,0.04
0.3550985,301.230838,0.8,0.002,0.04
0.3595501,301.248776,0.8,0.002,0.04
0.3640061,301.266658,0.8,0.002,0.04
0.3684679,301.284465,0.8,0.002,0.04
0.3783861,301.324858,0.8,0.002,0.04
0.3833454,301.353911,0.8,0.002,0.04
0.3882091,301.374744,0.8,0.002,0.04
0.3923310,301.391183,0.8,0.002,0.04
0.3962923,301.407949,0.8,0.002,0.04
0.4001394,301.424959,0.8,0.002,0.04
0.4039191,301.442132,0.8,0.002,0.04
0.4076778,301.459384,0.8,0.002,0.04
0.4114621,301.476634,0.8,0.002,0.04
0.4153186,301.493799,0.8,0.002,0.04
0.4192939,301.510798,0.8,0.002,0.04
0.4234346,301.527546,0.8,0.002,0.04
0.4277872,301.543963,0.8,0.002,0.04
0.4327403,301.564181,0.8,0.002,0.04
0.4376992,301.583781,0.8,0.002,0.04
0.4421531,301.601697,0.8,0.002,0.04
0.4466032,301.619658,0.8,0.002,0.04
0.4510510,301.637650,0.8,0.002,0.04
0.4554977,301.655656,0.8,0.002,0.04
0.4599447,301.673660,0.8,0.002,0.04
0.4643933,301.691647,0.8,0.002,0.04
0.4688449,301.709601,0.8,0.002,0.04
0.4733007,301.727507,0.8,0.002,0.04
0.4777621,301.745347,0.8,0.002,0.04
0.4822304,301.763108,0.8,0.002,0.04
0.4871959,301.783325,0.8,0.002,0.04
0.4921490,301.807282,0.8,0.002,0.04
0.4970186,301.832554,0.8,0.002,0.04
0.5019778,301.853388,0.8,0.002,0.04
0.5069368,301.877386,0.8,0.002,0.04
0.5118902,301.902658,0.8,0.002,0.04
0.5168495,301.927273,0.8,0.002,0.04
0.5218085,301.952503,0.8,0.002,0.04
0.5258433,301.972841,0.8,0.002,0.04
0.5298461,301.993418,0.8,0.002,0.04
0.5338224,302.014192,0.8,0.002,0.04
0.5377777,302.035119,0.8,0.002,0.04
0.5417176,302.056158,0.8,0.002,0.04
0.5456477,302.077266,0.8,0.002,0.04
0.5495735,302.098400,0.8,0.002,0.04
0.5535005,302.119519,0.8,0.002,0.04
0.5574344,302.140580,0.8,0.002,0.04
0.5613807,302.161540,0.8,0.002,0.04
0.5663396,302.191249,0.8,0.002,0.04
0.5712092,302.221534,0.8,0.002,0.04
0.5760071,302.246461,0.8,0.002,0.04
0.5807429,302.272979,0.8,0.002,0.04
0.5854112,302.300853,0.8,0.002,0.04
0.5900064,302.329843,0.8,0.002,0.04
0.5945233,302.359713,0.8,0.002,0.04
0.5989562,302.390225,0.8,0.002,0.04
0.6032999,302.421142,0.8,0.002,0.04
0.6075487,302.452226,0.8,0.002,0.04
0.6116974,302.483240,0.8,0.002,0.04
0.6157403,302.513947,0.8,0.002,0.04
0.6306120,302.633280,0.8,0.002,0.04
0.6355713,302.673714,0.8,0.002,0.04
0.6396551,302.709328,0.8,0.002,0.04
0.6437455,302.745248,0.8,0.002,0.04
0.6478295,302.781454,0.8,0.002,0.04
0.6518942,302.817926,0.8,0.002,0.04
0.6559263,302.854644,0.8,0.002,0.04
0.6599129,302.891589,0.8,0.002,0.04
0.6638409,302.928742,0.8,0.002,0.04
0.6676974,302.966081,0.8,0.002,0.04
0.6714691,303.003589,0.8,0.002,0.04
0.6751432,303.041244,0.8,0.002,0.04
0.6800128,303.091090,0.8,0.002,0.04
0.6849717,303.140975,0.8,0.002,0.04
0.6900840,303.190335,0.8,0.002,0.04
0.6949207,303.239975,0.8,0.002,0.04
0.6995302,303.289906,0.8,0.002,0.04
0.7039609,303.340143,0.8,0.002,0.04
0.7082613,303.390699,0.8,0.002,0.04
0.7124797,303.441586,0.8,0.002,0.04
0.7166647,303.492818,0.8,0.002,0.04
0.7208646,303.544408,0.8,0.002,0.04
0.7251278,303.596369,0.8,0.002,0.04
0.7295028,303.648713,0.8,0.002,0.04
0.7344621,303.716927,0.8,0.002,0.04
0.7394214,303.780702,0.8,0.002,0.04
0.7493338,303.919635,0.8,0.002,0.04
0.7542034,303.996026,0.8,0.002,0.04
0.7661518,304.180387,0.8,0.002,0.04
0.7774515,304.366536,0.8,0.002,0.04
0.7882161,304.554157,0.8,0.002,0.04
0.7985595,304.742936,0.8,0.002,0.04
0.8085954,304.932556,0.8,0.002,0.04
0.8184375,305.122703,0.8,0.002,0.04
0.8281996,305.313061,0.8,0.002,0.04
0.8379954,305.503314,0.8,0.002,0.04
0.8479387,305.693148,0.8,0.002,0.04
0.8581432,305.882247,0.8,0.002,0.04
0.8630066,305.973184,0.8,0.002,0.04
0.8679659,306.056560,0.8,0.002,0.04
0.8729252,306.144293,0.8,0.002,0.04
0.8759471,306.191602,0.8,0.002,0.04
0.8791108,306.241934,0.8,0.002,0.04
0.8824409,306.294256,0.8,0.002,0.04
0.8859623,306.347533,0.8,0.002,0.04
0.8896998,306.400730,0.8,0.002,0.04
0.8936782,306.452812,0.8,0.002,0.04
0.8979223,306.502745,0.8,0.002,0.04
0.9024570,306.549495,0.8,0.002,0.04
0.9073069,306.592027,0.8,0.002,0.04
0.9124971,306.629306,0.8,0.002,0.04
0.9174564,306.651413,0.8,0.002,0.04
0.9224153,306.662138,0.8,0.002,0.04
0.9273749,306.654536,0.8,0.002,0.04
0.9322383,306.636867,0.8,0.002,0.04
0.9371972,306.600254,0.8,0.002,0.04
0.9421569,306.551601,0.8,0.002,0.04
0.9471100,306.477100,0.8,0.002,0.04
0.9520689,306.388710,0.8,0.002,0.04
0.9570282,306.281994,0.8,0.002,0.04
0.9619875,306.155717,0.8,0.002,0.04
0.9669464,306.009797,0.8,0.002,0.04
0.9718102,305.843743,0.8,0.002,0.04
0.9767695,305.665033,0.8,0.002,0.04
0.9817284,305.475596,0.8,0.002,0.04
0.9866881,305.289901,0.8,0.002,0.04
0.9916470,305.162350,0.8,0.002,0.04
